Round  48 	 Average Loss 1.482 	 Testing accuracy: 92.59 	 CommOverhead_PerIter: 10262265types 	 Time taken: 3684.16s
Round  49 	 Average Loss 1.482 	 Testing accuracy: 93.36 	 CommOverhead_PerIter: 10262265types 	 Time taken: 3760.86s
Round  50 	 Average Loss 1.482 	 Testing accuracy: 92.47 	 CommOverhead_PerIter: 10262265types 	 Time taken: 3833.49s
Round  51 	 Average Loss 1.482 	 Testing accuracy: 93.52 	 CommOverhead_PerIter: 10262265types 	 Time taken: 3903.66s
Round  52 	 Average Loss 1.482 	 Testing accuracy: 92.56 	 CommOverhead_PerIter: 10262265types 	 Time taken: 3974.14s
Round  53 	 Average Loss 1.482 	 Testing accuracy: 93.55 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4047.38s
Round  54 	 Average Loss 1.482 	 Testing accuracy: 92.54 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4124.93s
Round  55 	 Average Loss 1.482 	 Testing accuracy: 93.73 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4197.52s
Round  56 	 Average Loss 1.482 	 Testing accuracy: 92.85 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4270.07s
Round  57 	 Average Loss 1.481 	 Testing accuracy: 93.65 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4345.89s
Round  58 	 Average Loss 1.481 	 Testing accuracy: 92.84 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4421.81s
Round  59 	 Average Loss 1.481 	 Testing accuracy: 93.76 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4497.34s
Round  60 	 Average Loss 1.482 	 Testing accuracy: 92.90 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4571.91s
Round  61 	 Average Loss 1.481 	 Testing accuracy: 93.81 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4649.27s
Round  62 	 Average Loss 1.482 	 Testing accuracy: 93.03 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4725.51s
Round  63 	 Average Loss 1.481 	 Testing accuracy: 93.86 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4801.71s
Round  64 	 Average Loss 1.481 	 Testing accuracy: 93.21 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4878.43s
Round  65 	 Average Loss 1.481 	 Testing accuracy: 93.71 	 CommOverhead_PerIter: 10262265types 	 Time taken: 4954.23s
Round  66 	 Average Loss 1.481 	 Testing accuracy: 93.16 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5029.55s
Round  67 	 Average Loss 1.481 	 Testing accuracy: 93.86 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5107.10s
Round  68 	 Average Loss 1.481 	 Testing accuracy: 93.34 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5183.55s
Round  69 	 Average Loss 1.481 	 Testing accuracy: 93.87 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5253.96s
Round  70 	 Average Loss 1.481 	 Testing accuracy: 93.32 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5327.12s
Round  71 	 Average Loss 1.481 	 Testing accuracy: 93.94 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5402.64s
Round  72 	 Average Loss 1.481 	 Testing accuracy: 93.51 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5478.32s
Round  73 	 Average Loss 1.481 	 Testing accuracy: 93.94 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5549.26s
Round  74 	 Average Loss 1.481 	 Testing accuracy: 93.64 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5620.24s
Round  75 	 Average Loss 1.481 	 Testing accuracy: 94.07 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5691.27s
Round  76 	 Average Loss 1.481 	 Testing accuracy: 93.56 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5762.31s
Round  77 	 Average Loss 1.480 	 Testing accuracy: 94.05 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5837.65s
Round  78 	 Average Loss 1.481 	 Testing accuracy: 93.71 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5914.59s
Round  79 	 Average Loss 1.481 	 Testing accuracy: 94.23 	 CommOverhead_PerIter: 10262265types 	 Time taken: 5991.35s
Round  80 	 Average Loss 1.481 	 Testing accuracy: 93.39 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6068.01s
Round  81 	 Average Loss 1.480 	 Testing accuracy: 94.32 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6145.11s
Round  82 	 Average Loss 1.480 	 Testing accuracy: 93.55 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6221.81s
Round  83 	 Average Loss 1.480 	 Testing accuracy: 94.35 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6297.97s
Round  84 	 Average Loss 1.481 	 Testing accuracy: 93.37 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6372.55s
Round  85 	 Average Loss 1.480 	 Testing accuracy: 94.35 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6448.68s
Round  86 	 Average Loss 1.480 	 Testing accuracy: 93.74 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6525.17s
Round  87 	 Average Loss 1.481 	 Testing accuracy: 94.39 	 CommOverhead_PerIter: 10262267types 	 Time taken: 6601.03s
Round  88 	 Average Loss 1.481 	 Testing accuracy: 93.38 	 CommOverhead_PerIter: 10262269types 	 Time taken: 6677.06s
