Round  50 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 9353.39s
Round  51 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 9564.69s
Round  52 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 9777.58s
Round  53 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 9990.19s
Round  54 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 10202.77s
Round  55 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 10416.53s
Round  56 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 10631.33s
Round  57 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 10845.04s
Round  58 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 11047.48s
Round  59 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 11250.59s
Round  60 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 11446.68s
Round  61 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 11651.60s
Round  62 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 11857.23s
Round  63 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 12060.40s
Round  64 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 12260.61s
Round  65 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 12462.40s
Round  66 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 12668.86s
Round  67 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 12863.75s
Round  68 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 13059.67s
Round  69 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 13259.13s
Round  70 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 13458.01s
Round  71 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 13661.27s
Round  72 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 13862.53s
Round  73 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 14064.21s
Round  74 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 14265.98s
Round  75 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 14467.08s
Round  76 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 14671.21s
Round  77 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 14883.65s
Round  78 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 15091.43s
Round  79 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 15295.28s
Round  80 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 15497.14s
Round  81 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 15634.06s
Round  82 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 15701.86s
Round  83 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 15868.20s
Round  84 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 16073.35s
Round  85 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 16277.76s
Round  86 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 16479.14s
Round  87 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 16687.88s
Round  88 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 16887.77s
Round  89 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 17093.85s
Round  90 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 17307.47s
Round  91 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 17514.75s
Round  92 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 17715.66s
Round  93 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 17916.49s
Round  94 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 18105.56s
Round  95 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 18296.71s
Round  96 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 18496.09s
Round  97 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 18699.17s
Round  98 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 18885.36s
Round  99 	 Average Loss nan 	 Testing accuracy: 10.00 	 CommOverhead_PerIter: 115545865types 	 Time taken: 19091.55s

========TRAIN END========


===================DATA Round 0-99====================
Test Accuracy: [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]
Train Loss: [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
===================END Round 0-99====================
